label,body_char_len,body_word_count,subject_char_len,subject_word_count,num_urls,has_url,num_html_tags,has_html,num_exclaim,num_question,num_digits,digit_ratio,uppercase_ratio,num_money_symbols,has_money_symbol,avg_word_len,urgent_word_count,subject_is_reply
1,273,49,25,6,1,1,0,0,2,0,0,0.0,0.03,0,0,4.236,0,0
1,82,12,22,3,1,1,0,0,0,0,0,0.0,0.0471,0,0,5.667,0,0
1,3918,629,20,5,24,1,4,1,0,15,237,0.0602,0.2678,0,0,4.202,0,0
0,24418,3952,150,21,652,1,0,0,4,75,349,0.0142,0.0127,461,1,4.004,2,1
1,175,11,26,1,1,1,0,0,0,0,15,0.0743,0.2381,0,0,15.417,0,0
1,93,25,20,3,0,0,0,0,3,0,0,0.0,0.2208,0,0,2.75,0,0
1,115,21,15,2,0,0,0,0,0,0,0,0.0,0.1204,0,0,4.696,0,0
0,450,37,87,15,1,1,0,0,0,1,12,0.0223,0.0833,0,0,5.096,0,0
1,497,73,19,2,2,1,0,0,1,0,2,0.0039,0.1269,1,1,5.387,2,0
1,386,50,101,16,1,1,0,0,0,0,2,0.0041,0.06,0,0,6.091,0,0
1,673,126,19,3,1,1,0,0,0,0,10,0.0144,0.0271,0,0,4.078,0,0
0,2040,328,37,5,3,1,0,0,0,1,68,0.0327,0.0944,1,1,4.628,0,1
0,10830,1745,68,14,11,1,8,1,3,18,711,0.0652,0.0745,0,0,4.377,12,1
0,13442,2136,47,7,10,1,5,1,7,5,649,0.0481,0.0862,0,0,4.598,4,1
0,1204,164,28,4,4,1,0,0,0,2,36,0.0292,0.1393,0,0,5.298,3,0
0,4161,618,59,9,0,0,0,0,0,0,304,0.072,0.0844,2,1,4.781,0,0
0,865,127,33,6,1,1,0,0,0,2,12,0.0133,0.0718,0,0,4.594,0,0
0,1845,201,61,10,1,1,0,0,8,0,107,0.0561,0.0367,0,0,5.194,4,0
0,425,82,37,6,0,0,0,0,0,1,0,0.0,0.0464,0,0,3.67,1,1
1,68,10,24,3,0,0,0,0,4,0,0,0.0,0.1912,0,0,5.231,0,0
1,96,14,10,2,1,1,0,0,0,0,1,0.0093,0.0482,0,0,5.25,0,0
0,3154,539,26,4,0,0,0,0,0,2,11,0.0035,0.0292,0,0,4.492,6,1
1,65,12,42,5,1,1,0,0,0,0,0,0.0,0.0337,0,0,5.235,0,0
1,567,97,34,7,0,0,0,0,1,0,25,0.0415,0.1396,0,0,4.442,0,0
1,4226,629,20,5,24,1,4,1,0,15,472,0.1111,0.26,0,0,4.688,0,0
1,267,30,17,4,0,0,0,0,1,0,0,0.0,0.0252,0,0,7.0,0,0
1,341,56,29,5,1,1,0,0,2,0,6,0.0162,0.027,0,0,4.951,1,0
0,2102,327,39,7,0,0,0,0,0,0,7,0.0033,0.0262,6,1,4.497,1,1
0,887,138,49,7,1,1,0,0,0,3,26,0.0277,0.0635,0,0,5.069,1,0
1,82,12,43,6,1,1,0,0,0,0,0,0.0,0.0194,0,0,5.722,0,0
1,174,9,40,7,0,0,0,0,1,0,0,0.0,0.0345,0,0,5.438,1,0
0,969,125,96,16,1,1,0,0,0,1,37,0.0347,0.0753,0,0,4.319,0,0
1,297,48,28,5,1,1,0,0,3,1,4,0.0123,0.0272,0,0,4.925,0,0
1,279,45,38,7,0,0,0,0,0,0,0,0.0,0.0253,0,0,4.558,2,0
1,438,50,42,5,0,0,0,0,0,3,0,0.0,0.0,0,0,7.345,0,0
0,1521,242,55,8,3,1,0,0,0,1,89,0.0564,0.1286,3,1,4.6,2,0
0,778,96,35,4,1,1,0,0,0,0,9,0.0111,0.0884,0,0,5.52,4,0
0,2346,372,26,4,0,0,0,0,0,2,2,0.0008,0.0402,0,0,4.697,9,1
1,97,20,31,4,1,1,0,0,0,0,1,0.0078,0.0421,0,0,4.0,0,0
0,3018,396,28,5,0,0,0,0,0,1,21,0.0069,0.2068,0,0,4.781,1,0
0,1784,246,29,5,4,1,0,0,0,0,34,0.0187,0.0853,0,0,5.462,1,0
0,799,137,37,6,0,0,0,0,0,1,0,0.0,0.0548,0,0,4.21,1,1
0,938,166,56,7,0,0,0,0,1,2,40,0.0402,0.0578,0,0,4.231,0,1
0,860,108,86,15,1,1,0,0,0,1,27,0.0285,0.0809,0,0,4.447,0,0
0,1209,175,45,6,3,1,0,0,0,0,14,0.0112,0.0638,0,0,5.53,0,0
0,1764,276,71,9,3,1,0,0,0,1,36,0.0196,0.0586,0,0,5.161,0,0
0,12338,1865,81,9,29,1,0,0,1,14,247,0.0199,0.1945,1,1,5.344,11,0
0,2341,359,114,15,3,1,0,0,0,0,18,0.0073,0.0658,0,0,5.209,0,0
1,67,10,55,4,0,0,0,0,3,0,18,0.1463,0.1446,0,0,7.214,0,0
0,1689,258,66,9,4,1,0,0,0,0,20,0.0114,0.0623,0,0,5.247,0,0
0,765,135,34,5,0,0,0,0,0,2,17,0.0213,0.0518,0,0,4.257,0,0
1,321,54,52,10,1,1,0,0,4,0,0,0.0,0.0742,0,0,4.422,0,0
1,214,32,40,6,0,0,0,0,2,0,0,0.0,0.0317,0,0,4.974,1,0
0,1126,182,49,7,2,1,0,0,0,4,9,0.0077,0.0315,0,0,4.989,0,0
1,272,44,18,4,1,1,0,0,2,0,0,0.0,0.0511,0,0,4.896,0,0
0,1470,229,86,11,2,1,0,0,0,0,40,0.0257,0.078,2,1,5.133,0,0
1,57,9,26,3,0,0,0,0,0,0,0,0.0,0.0143,0,0,5.833,0,0
1,319,40,22,4,0,0,0,0,1,0,0,0.0,0.0281,0,0,6.477,0,0
1,476,81,64,10,1,1,0,0,1,0,5,0.0092,0.07,0,0,4.604,3,0
1,183,27,48,6,1,1,0,0,0,1,0,0.0,0.0872,0,0,5.212,0,0
0,6468,910,56,10,4,1,0,0,3,8,76,0.0116,0.0575,0,0,4.921,4,0
1,163,23,19,3,1,1,0,0,0,0,0,0.0,0.0775,0,0,5.462,0,0
1,307,48,30,4,1,1,0,0,2,0,6,0.0178,0.0185,0,0,5.308,0,0
0,1174,175,73,10,2,1,0,0,0,0,21,0.0168,0.0639,0,0,5.357,0,0
1,155,23,20,3,1,1,0,0,0,0,0,0.0,0.0752,0,0,5.115,0,0
1,150,21,24,3,1,1,0,0,0,0,0,0.0,0.1,0,0,5.833,0,0
1,154,24,15,3,1,1,0,0,0,0,0,0.0,0.124,0,0,4.778,0,0
1,276,55,14,2,0,0,0,0,3,0,3,0.0103,0.0365,0,0,3.895,0,0
0,975,160,40,8,0,0,0,0,0,0,73,0.0719,0.1772,0,0,3.929,1,1
1,258,17,27,5,1,1,0,0,0,1,7,0.0245,0.1333,0,0,5.091,0,0
1,290,48,35,6,1,1,0,0,2,1,7,0.0215,0.0426,0,0,4.907,1,0
1,104,18,31,4,1,1,0,0,0,0,0,0.0,0.0179,0,0,5.091,0,0
0,489,80,46,6,0,0,0,0,0,0,43,0.0802,0.1337,0,0,4.674,0,0
1,218,26,16,3,0,0,0,0,1,0,0,0.0,0.0259,0,0,6.655,1,0
0,4682,651,45,7,0,0,0,0,6,0,191,0.0404,0.1252,14,1,4.907,0,0
0,7236,969,60,11,5,1,0,0,6,9,81,0.0111,0.0567,0,0,4.889,4,1
0,868,134,60,11,2,1,0,0,0,1,13,0.014,0.0387,0,0,5.041,0,1
0,651,105,60,11,2,1,0,0,0,1,16,0.0225,0.0464,0,0,4.819,0,1
0,1266,205,60,11,3,1,0,0,3,2,18,0.0136,0.0381,0,0,4.681,0,1
0,1299,211,99,16,2,1,0,0,0,1,26,0.0186,0.1544,2,1,4.692,0,0
0,1110,201,66,11,0,0,0,0,0,1,89,0.0756,0.1136,0,0,4.061,3,0
